Week,Gasoline
2/9/96,7520
2/16/96,7868
2/23/96,7826
3/1/96,7338
3/8/96,7877
3/15/96,7757
3/22/96,7900
3/29/96,7568
4/5/96,7280
4/12/96,7804
4/19/96,7433
4/26/96,8079
5/3/96,7592
5/10/96,8267
5/17/96,7512
5/24/96,8080
5/31/96,7836
6/7/96,7946
6/14/96,7957
6/21/96,7956
6/28/96,8563
7/5/96,8015
7/12/96,7968
7/19/96,8152
7/26/96,8067
8/2/96,8279
8/9/96,7722
8/16/96,7818
8/23/96,8364
8/30/96,8369
9/6/96,7843
9/13/96,7537
9/20/96,8000
9/27/96,7619
10/4/96,7935
10/11/96,7637
10/18/96,7958
10/25/96,7991
11/1/96,7682
11/8/96,7804
11/15/96,8073
11/22/96,7883
11/29/96,7370
12/6/96,7706
12/13/96,8355
12/20/96,8051
12/27/96,7740
1/3/97,7122
1/10/97,7440
1/17/97,7408
1/24/97,7265
1/31/97,7125
2/7/97,7013
2/14/97,7530
2/21/97,8011
2/28/97,7779
3/7/97,7417
3/14/97,8125
3/21/97,7729
3/28/97,7492
4/4/97,8115
4/11/97,7791
4/18/97,7914
4/25/97,7922
5/2/97,8224
5/9/97,7765
5/16/97,8253
5/23/97,8088
5/30/97,8154
6/6/97,7590
6/13/97,8009
6/20/97,8557
6/27/97,8234
7/4/97,8489
7/11/97,8606
7/18/97,8595
7/25/97,8600
8/1/97,8290
8/8/97,8253
8/15/97,8539
8/22/97,7922
8/29/97,8695
9/5/97,8053
9/12/97,8215
9/19/97,7746
9/26/97,8140
10/3/97,8379
10/10/97,8221
10/17/97,8315
10/24/97,7741
10/31/97,8355
11/7/97,8025
11/14/97,7793
11/21/97,8043
11/28/97,7578
12/5/97,8437
12/12/97,7955
12/19/97,8151
12/26/97,8201
1/2/98,7832
1/9/98,7673
1/16/98,7779
1/23/98,7940
1/30/98,7670
2/6/98,7673
2/13/98,8201
2/20/98,8005
2/27/98,7662
3/6/98,7744
3/13/98,8103
3/20/98,7753
3/27/98,7996
4/3/98,8992
4/10/98,8031
4/17/98,8303
4/24/98,8118
5/1/98,8190
5/8/98,7503
5/15/98,8524
5/22/98,8337
5/29/98,8205
6/5/98,8312
6/12/98,8103
6/19/98,8160
6/26/98,8644
7/3/98,8755
7/10/98,8234
7/17/98,8749
7/24/98,8125
7/31/98,8997
8/7/98,8317
8/14/98,8981
8/21/98,8288
8/28/98,8607
9/4/98,8713
9/11/98,8722
9/18/98,7873
9/25/98,8359
10/2/98,8058
10/9/98,8797
10/16/98,8049
10/23/98,8099
10/30/98,8360
11/6/98,8195
11/13/98,7711
11/20/98,8381
11/27/98,8313
12/4/98,8162
12/11/98,8314
12/18/98,8588
12/25/98,8153
1/1/99,8519
1/8/99,7385
1/15/99,7810
1/22/99,8186
1/29/99,7866
2/5/99,7532
2/12/99,8756
2/19/99,7948
2/26/99,8316
3/5/99,8273
3/12/99,8451
3/19/99,8367
3/26/99,8337
4/2/99,7959
4/9/99,7878
4/16/99,8066
4/23/99,8923
4/30/99,7825
5/7/99,8059
5/14/99,8761
5/21/99,8275
5/28/99,8401
6/4/99,8193
6/11/99,8827
6/18/99,8522
6/25/99,9045
7/2/99,9076
7/9/99,8679
7/16/99,8622
7/23/99,8639
7/30/99,8537
8/6/99,8644
8/13/99,8519
8/20/99,8415
8/27/99,8810
9/3/99,8778
9/10/99,8593
9/17/99,8504
9/24/99,8865
10/1/99,8557
10/8/99,8433
10/15/99,8406
10/22/99,8521
10/29/99,8532
11/5/99,8333
11/12/99,8416
11/19/99,8404
11/26/99,8416
12/3/99,7670
12/10/99,8557
12/17/99,8638
12/24/99,8590
12/31/99,8851
1/7/00,7907
1/14/00,7543
1/21/00,7919
1/28/00,8385
2/4/00,7642
2/11/00,8375
2/18/00,8524
2/25/00,8072
3/3/00,7608
3/10/00,8662
3/17/00,8201
3/24/00,8384
3/31/00,7896
4/7/00,8655
4/14/00,8557
4/21/00,8616
4/28/00,8302
5/5/00,8679
5/12/00,8242
5/19/00,8408
5/26/00,9075
6/2/00,8863
6/9/00,8403
6/16/00,8895
6/23/00,8475
6/30/00,8620
7/7/00,8519
7/14/00,8844
7/21/00,8361
7/28/00,8614
8/4/00,8759
8/11/00,8813
8/18/00,8786
8/25/00,8960
9/1/00,8644
9/8/00,8573
9/15/00,8814
9/22/00,8153
9/29/00,7819
10/6/00,8340
10/13/00,8663
10/20/00,8604
10/27/00,8942
11/3/00,8780
11/10/00,8216
11/17/00,8419
11/24/00,8063
12/1/00,8233
12/8/00,8711
12/15/00,8475
12/22/00,8400
12/29/00,8693
1/5/01,7825
1/12/01,8225
1/19/01,7894
1/26/01,7338
2/2/01,8589
2/9/01,8032
2/16/01,7850
2/23/01,8187
3/2/01,8489
3/9/01,8425
3/16/01,8484
3/23/01,8475
3/30/01,8507
4/6/01,8306
4/13/01,8438
4/20/01,8708
4/27/01,8404
5/4/01,8665
5/11/01,8275
5/18/01,8917
5/25/01,8270
6/1/01,8809
6/8/01,8428
6/15/01,8393
6/22/01,8921
6/29/01,9036
7/6/01,8622
7/13/01,9095
7/20/01,9176
7/27/01,9007
8/3/01,8959
8/10/01,8671
8/17/01,9035
8/24/01,8943
8/31/01,8612
9/7/01,8529
9/14/01,8969
9/21/01,7834
9/28/01,8514
10/5/01,8500
10/12/01,8766
10/19/01,8619
10/26/01,8702
11/2/01,8797
11/9/01,8771
11/16/01,8612
11/23/01,8868
11/30/01,8517
12/7/01,8327
12/14/01,8622
12/21/01,8888
12/28/01,8860
1/4/02,8288
1/11/02,8359
1/18/02,8049
1/25/02,8184
2/1/02,8223
2/8/02,8117
2/15/02,8428
2/22/02,8729
3/1/02,8782
3/8/02,8277
3/15/02,8713
3/22/02,8621
3/29/02,8386
4/5/02,8865
4/12/02,8840
4/19/02,8684
4/26/02,8699
5/3/02,8521
5/10/02,8548
5/17/02,9190
5/24/02,8685
5/31/02,8778
6/7/02,9004
6/14/02,8771
6/21/02,8752
6/28/02,9172
7/5/02,9004
7/12/02,8985
7/19/02,9056
7/26/02,9093
8/2/02,9297
8/9/02,9270
8/16/02,8939
8/23/02,9173
8/30/02,9135
9/6/02,8844
9/13/02,8899
9/20/02,8625
9/27/02,8582
10/4/02,8895
10/11/02,9090
10/18/02,8653
10/25/02,9022
11/1/02,9324
11/8/02,8759
11/15/02,8540
11/22/02,8667
11/29/02,9060
12/6/02,8616
12/13/02,8854
12/20/02,9063
12/27/02,8989
1/3/03,8411
1/10/03,8335
1/17/03,8645
1/24/03,8793
1/31/03,8551
2/7/03,8106
2/14/03,8454
2/21/03,8619
2/28/03,8421
3/7/03,9020
3/14/03,8596
3/21/03,8666
3/28/03,8284
4/4/03,8458
4/11/03,8640
4/18/03,8737
4/25/03,8358
5/2/03,8834
5/9/03,8894
5/16/03,8992
5/23/03,9299
5/30/03,8516
6/6/03,8529
6/13/03,8880
6/20/03,8833
6/27/03,9476
7/4/03,9050
7/11/03,8763
7/18/03,9177
7/25/03,9563
8/1/03,9303
8/8/03,9381
8/15/03,9325
8/22/03,9668
8/29/03,9337
9/5/03,8886
9/12/03,8974
9/19/03,9166
9/26/03,8690
10/3/03,9190
10/10/03,9156
10/17/03,8754
10/24/03,9413
10/31/03,9316
11/7/03,8995
11/14/03,9232
11/21/03,8725
11/28/03,8979
12/5/03,8776
12/12/03,8930
12/19/03,9166
12/26/03,8726
1/2/04,8686
1/9/04,8411
1/16/04,8426
1/23/04,8543
1/30/04,8514
2/6/04,8627
2/13/04,8727
2/20/04,8796
2/27/04,8970
3/5/04,8968
3/12/04,9044
3/19/04,8818
3/26/04,8731
4/2/04,9249
4/9/04,9338
4/16/04,8973
4/23/04,9255
4/30/04,8926
5/7/04,9373
5/14/04,9119
5/21/04,9154
5/28/04,9259
6/4/04,9045
6/11/04,9219
6/18/04,9194
6/25/04,9199
7/2/04,9398
7/9/04,9300
7/16/04,8840
7/23/04,9310
7/30/04,9263
8/6/04,9472
8/13/04,9521
8/20/04,9424
8/27/04,9267
9/3/04,9453
9/10/04,9234
9/17/04,9005
9/24/04,8922
10/1/04,8915
10/8/04,8917
10/15/04,9177
10/22/04,8883
10/29/04,8977
11/5/04,9217
11/12/04,9237
11/19/04,8988
11/26/04,9204
12/3/04,9107
12/10/04,9268
12/17/04,9068
12/24/04,9329
12/31/04,9287
1/7/05,8710
1/14/05,8695
1/21/05,8881
1/28/05,8848
2/4/05,8837
2/11/05,8825
2/18/05,8898
2/25/05,8884
3/4/05,9014
3/11/05,9131
3/18/05,9069
3/25/05,9075
4/1/05,9095
4/8/05,9089
4/15/05,9170
4/22/05,9306
4/29/05,9024
5/6/05,9175
5/13/05,9269
5/20/05,9443
5/27/05,9461
6/3/05,9451
6/10/05,9528
6/17/05,9313
6/24/05,9367
7/1/05,9721
7/8/05,9391
7/15/05,9415
7/22/05,9449
7/29/05,9586
8/5/05,9483
8/12/05,9408
8/19/05,9471
8/26/05,9406
9/2/05,9027
9/9/05,8636
9/16/05,8819
9/23/05,8836
9/30/05,8840
10/7/05,8783
10/14/05,8961
10/21/05,8981
10/28/05,9045
11/4/05,9246
11/11/05,9151
11/18/05,9124
11/25/05,9189
12/2/05,9221
12/9/05,9268
12/16/05,9326
12/23/05,9249
12/30/05,9358
1/6/06,8950
1/13/06,8859
1/20/06,8826
1/27/06,8879
2/3/06,8967
2/10/06,9083
2/17/06,9046
2/24/06,8951
3/3/06,9057
3/10/06,9106
3/17/06,9100
3/24/06,9054
3/31/06,9063
4/7/06,9297
4/14/06,9100
4/21/06,9012
4/28/06,9099
5/5/06,9346
5/12/06,9327
5/19/06,9193
5/26/06,9430
6/2/06,9367
6/9/06,9413
6/16/06,9429
6/23/06,9540
6/30/06,9645
7/7/06,9621
7/14/06,9569
7/21/06,9573
7/28/06,9639
8/4/06,9697
8/11/06,9530
8/18/06,9571
8/25/06,9610
9/1/06,9622
9/8/06,9368
9/15/06,9229
9/22/06,9287
9/29/06,9081
10/6/06,9242
10/13/06,9298
10/20/06,9511
10/27/06,9499
11/3/06,9256
11/10/06,9110
11/17/06,9149
11/24/06,9320
12/1/06,9477
12/8/06,9394
12/15/06,9491
12/22/06,9229
12/29/06,9247
1/5/07,9201
1/12/07,9060
1/19/07,9008
1/26/07,9090
2/2/07,9136
2/9/07,9061
2/16/07,9198
2/23/07,9121
3/2/07,9191
3/9/07,9158
3/16/07,9240
3/23/07,9250
3/30/07,9491
4/6/07,9472
4/13/07,9247
4/20/07,9163
4/27/07,9260
5/4/07,9344
5/11/07,9404
5/18/07,9433
5/25/07,9485
6/1/07,9495
6/8/07,9487
6/15/07,9591
6/22/07,9575
6/29/07,9557
7/6/07,9663
7/13/07,9710
7/20/07,9688
7/27/07,9662
8/3/07,9575
8/10/07,9572
8/17/07,9762
8/24/07,9626
8/31/07,9577
9/7/07,9393
9/14/07,9247
9/21/07,9235
9/28/07,9120
10/5/07,9200
10/12/07,9253
10/19/07,9373
10/26/07,9355
11/2/07,9367
11/9/07,9187
11/16/07,9222
11/23/07,9356
11/30/07,9266
12/7/07,9348
12/14/07,9287
12/21/07,9446
12/28/07,9286
1/4/08,9304
1/11/08,9116
1/18/08,8964
1/25/08,8940
2/1/08,8916
2/8/08,9020
2/15/08,9125
2/22/08,9045
2/29/08,9071
3/7/08,9131
3/14/08,9071
3/21/08,9116
3/28/08,9330
4/4/08,9286
4/11/08,9338
4/18/08,9215
4/25/08,9189
5/2/08,9311
5/9/08,9343
5/16/08,9359
5/23/08,9373
5/30/08,9129
6/6/08,9411
6/13/08,9251
6/20/08,9334
6/27/08,9357
7/4/08,9347
7/11/08,9344
7/18/08,9342
7/25/08,9468
8/1/08,9484
8/8/08,9446
8/15/08,9423
8/22/08,9411
8/29/08,9424
9/5/08,9090
9/12/08,8907
9/19/08,8741
9/26/08,8730
10/3/08,8691
10/10/08,8894
10/17/08,9065
10/24/08,9057
10/31/08,9095
11/7/08,9002
11/14/08,8962
11/21/08,8844
11/28/08,8933
12/5/08,9015
12/12/08,9175
12/19/08,8867
12/26/08,9106
1/2/09,8990
1/9/09,8758
1/16/09,8641
1/23/09,8650
1/30/09,9015
2/6/09,9006
2/13/09,8908
2/20/09,9010
2/27/09,9204
3/6/09,8972
3/13/09,8955
3/20/09,9100
3/27/09,9125
4/3/09,9024
4/10/09,8944
4/17/09,9136
4/24/09,9151
5/1/09,8923
5/8/09,8911
5/15/09,9232
5/22/09,9538
5/29/09,9020
6/5/09,9141
6/12/09,9354
6/19/09,9129
6/26/09,9053
7/3/09,9229
7/10/09,9163
7/17/09,9255
7/24/09,9171
7/31/09,9199
8/7/09,8951
8/14/09,9205
8/21/09,9105
8/28/09,9478
9/4/09,9283
9/11/09,9001
9/18/09,8790
9/25/09,9126
10/2/09,9269
10/9/09,9256
10/16/09,8950
10/23/09,8858
10/30/09,9015
11/6/09,8844
11/13/09,9015
11/20/09,9092
11/27/09,8943
12/4/09,9012
12/11/09,8963
12/18/09,9045
12/25/09,9074
1/1/10,8741
1/8/10,8740
1/15/10,8602
1/22/10,8619
1/29/10,8613
2/5/10,8766
2/12/10,8521
2/19/10,9064
2/26/10,8882
3/5/10,8992
3/12/10,8849
3/19/10,9087
3/26/10,9060
4/2/10,9076
4/9/10,9325
4/16/10,9152
4/23/10,9290
4/30/10,9282
5/7/10,9140
5/14/10,9092
5/21/10,9099
5/28/10,9174
6/4/10,9194
6/11/10,9338
6/18/10,9241
6/25/10,9462
7/2/10,9449
7/9/10,9080
7/16/10,9435
7/23/10,9632
7/30/10,9477
8/6/10,9236
8/13/10,9459
8/20/10,9375
8/27/10,9386
9/3/10,9263
9/10/10,9019
9/17/10,8847
9/24/10,9383
10/1/10,8989
10/8/10,8812
10/15/10,8891
10/22/10,9358
10/29/10,9015
11/5/10,9056
11/12/10,8952
11/19/10,8829
11/26/10,8867
12/3/10,9171
12/10/10,9349
12/17/10,9213
12/24/10,9399
12/31/10,8853
1/7/11,8819
1/14/11,8775
1/21/11,8632
1/28/11,8549
2/4/11,8524
2/11/11,8810
2/18/11,9101
2/25/11,9162
3/4/11,9192
3/11/11,8830
3/18/11,9074
3/25/11,8866
4/1/11,8853
4/8/11,9181
4/15/11,9062
4/22/11,9148
4/29/11,8943
5/6/11,8826
5/13/11,9048
5/20/11,9025
5/27/11,9431
6/3/11,9163
6/10/11,9370
6/17/11,9319
6/24/11,9261
7/1/11,9309
7/8/11,9016
7/15/11,9028
7/22/11,8999
7/29/11,9215
8/5/11,9244
8/12/11,9195
8/19/11,9009
8/26/11,9229
9/2/11,8956
9/9/11,8848
9/16/11,8858
9/23/11,8964
9/30/11,8959
10/7/11,9010
10/14/11,8598
10/21/11,8501
10/28/11,8518
11/4/11,8671
11/11/11,8625
11/18/11,8592
11/25/11,8769
12/2/11,8574
12/9/11,8666
12/16/11,8879
12/23/11,8923
12/30/11,8556
1/6/12,8179
1/13/12,7996
1/20/12,8098
1/27/12,8018
2/3/12,8039
2/10/12,8167
2/17/12,8628
2/24/12,8363
3/2/12,8262
3/9/12,8415
3/16/12,8379
3/23/12,8710
3/30/12,8783
4/6/12,8681
4/13/12,8775
4/20/12,8496
4/27/12,8692
5/4/12,8864
5/11/12,8971
5/18/12,8633
5/25/12,8931
6/1/12,8648
6/8/12,9130
6/15/12,8693
6/22/12,8846
6/29/12,9001
7/6/12,8917
7/13/12,8628
7/20/12,8660
7/27/12,8820
8/3/12,8839
8/10/12,9308
8/17/12,9081
8/24/12,9064
8/31/12,9177
9/7/12,8695
9/14/12,8632
9/21/12,8770
9/28/12,8633
10/5/12,8587
10/12/12,8729
10/19/12,8493
10/26/12,8844
11/2/12,8307
11/9/12,8908
11/16/12,8898
11/23/12,8427
11/30/12,8354
12/7/12,8488
12/14/12,8618
12/21/12,8608
12/28/12,8518
1/4/13,8010
1/11/13,8320
1/18/13,8431
1/25/13,8501
2/1/13,8415
2/8/13,8404
2/15/13,8437
2/22/13,8597
3/1/13,8364
3/8/13,8627
3/15/13,8324
3/22/13,8399
3/29/13,8523
4/5/13,8477
4/12/13,8383
4/19/13,8750
4/26/13,8415
5/3/13,8445
5/10/13,8341
5/17/13,8790
5/24/13,8956
5/31/13,8822
6/7/13,8648
6/14/13,8840
6/21/13,8894
6/28/13,9294
7/5/13,9299
7/12/13,8729
7/19/13,8982
7/26/13,9147
8/2/13,9246
8/9/13,9190
8/16/13,9200
8/23/13,9031
8/30/13,9094
9/6/13,8605
9/13/13,9028
9/20/13,8846
9/27/13,8527
10/4/13,8846
10/11/13,9077
10/18/13,8797
10/25/13,9054
11/1/13,9292
11/8/13,9032
11/15/13,8924
11/22/13,8909
11/29/13,8873
12/6/13,8348
12/13/13,9016
12/20/13,9176
12/27/13,8893
1/3/14,8274
1/10/14,8021
1/17/14,8059
1/24/14,8584
1/31/14,8452
2/7/14,8325
2/14/14,8030
2/21/14,8535
2/28/14,8411
3/7/14,8949
3/14/14,8512
3/21/14,9002
3/28/14,8713
4/4/14,8996
4/11/14,8616
4/18/14,8430
4/25/14,8693
5/2/14,8719
5/9/14,9191
5/16/14,9174
5/23/14,9310
5/30/14,9104
6/6/14,8624
6/13/14,9258
6/20/14,8813
6/27/14,9168
7/4/14,8935
7/11/14,9057
7/18/14,8792
7/25/14,9006
8/1/14,9359
8/8/14,8922
8/15/14,8775
8/22/14,9100
8/29/14,9480
9/5/14,8611
9/12/14,8707
9/19/14,8781
9/26/14,8660
10/3/14,8645
10/10/14,9043
10/17/14,8836
10/24/14,8867
10/31/14,9162
11/7/14,9005
11/14/14,9194
11/21/14,9254
11/28/14,9425
12/5/14,8549
12/12/14,9373
12/19/14,9518
12/26/14,9614
1/2/15,8809
1/9/15,8875
1/16/15,8851
1/23/15,9022
1/30/15,8442
2/6/15,8282
2/13/15,8809
2/20/15,8915
2/27/15,8630
3/6/15,8515
3/13/15,9260
3/20/15,8619
3/27/15,9435
4/3/15,8610
4/10/15,8914
4/17/15,9185
4/24/15,8920
5/1/15,8785
5/8/15,9201
5/15/15,9261
5/22/15,9734
5/29/15,8978
6/5/15,9600
6/12/15,9176
6/19/15,9655
6/26/15,9731
7/3/15,9532
7/10/15,9404
7/17/15,9749
7/24/15,9339
7/31/15,9687
8/7/15,9686
8/14/15,9705
8/21/15,9189
8/28/15,9438
9/4/15,9017
9/11/15,8983
9/18/15,9215
9/25/15,9021
10/2/15,8958
10/9/15,9137
10/16/15,9157
10/23/15,9343
10/30/15,9184
11/6/15,9388
11/13/15,9054
11/20/15,8921
11/27/15,9281
12/4/15,9420
12/11/15,9220
12/18/15,9185
12/25/15,9395
1/1/16,8159
1/8/16,8500
1/15/16,9079
1/22/16,8941
1/29/16,8341
2/5/16,9122
2/12/16,9203
2/19/16,9576
2/26/16,9121
3/4/16,9411
3/11/16,9458
3/18/16,9503
3/25/16,9244
4/1/16,9224
4/8/16,9633
4/15/16,9444
4/22/16,9315
4/29/16,9502
5/6/16,9658
5/13/16,9755
5/20/16,9516
5/27/16,9716
6/3/16,9568
6/10/16,9762
6/17/16,9815
6/24/16,9709
7/1/16,9755
7/8/16,9671
7/15/16,9785
7/22/16,9797
7/29/16,9752
8/5/16,9769
8/12/16,9762
8/19/16,9659
8/26/16,9511
9/2/16,9595
9/9/16,9406
9/16/16,9650
9/23/16,8880
9/30/16,9390
10/7/16,9264
10/14/16,8798
10/21/16,9118
10/28/16,9183
11/4/16,9213
11/11/16,9359
11/18/16,9024
11/25/16,9080
12/2/16,8757
12/9/16,8874
12/16/16,9269
12/23/16,9278
12/30/16,8465
1/6/17,8470
1/13/17,8069
1/20/17,8039
1/27/17,8310
2/3/17,8941
2/10/17,8433
2/17/17,8663
2/24/17,8686
3/3/17,9268
3/10/17,9254
3/17/17,9200
3/24/17,9524
3/31/17,9245
4/7/17,9275
4/14/17,9223
4/21/17,9206
4/28/17,9156
5/5/17,9408
5/12/17,9452
5/19/17,9704
5/26/17,9822
6/2/17,9317
6/9/17,9269
6/16/17,9816
6/23/17,9538
6/30/17,9705
7/7/17,9786
7/14/17,9592
7/21/17,9821
7/28/17,9842
8/4/17,9797
8/11/17,9522
8/18/17,9629
8/25/17,9846
9/1/17,9163
9/8/17,9619
9/15/17,9441
9/22/17,9522
9/29/17,9241
10/6/17,9480
10/13/17,9136
10/20/17,9314
10/27/17,9461
11/3/17,9496
11/10/17,9172
11/17/17,9595
11/24/17,8724
12/1/17,8895
12/8/17,9091
12/15/17,9426
12/22/17,9485
12/29/17,8650
1/5/18,8814
1/12/18,8668
1/19/18,8697
1/26/18,9044
2/2/18,9110
2/9/18,9059
2/16/18,9002
2/23/18,8860
3/2/18,9276
3/9/18,9642
3/16/18,9324
3/23/18,9208
3/30/18,9203
4/6/18,9273
4/13/18,9857
4/20/18,9083
4/27/18,9090
5/4/18,9775
5/11/18,9531
5/18/18,9689
5/25/18,9689
6/1/18,8976
6/8/18,9879
6/15/18,9326
6/22/18,9731
6/29/18,9869
7/6/18,9275
7/13/18,9708
7/20/18,9846
7/27/18,9878
8/3/18,9346
8/10/18,9512
8/17/18,9453
8/24/18,9899
8/31/18,9734
9/7/18,9649
9/14/18,9534
9/21/18,8987
9/28/18,9102
10/5/18,9078
10/12/18,9182
10/19/18,9324
10/26/18,9262
11/2/18,9099
11/9/18,9192
11/16/18,9185
11/23/18,9188
11/30/18,8877
12/7/18,9036
12/14/18,9243
12/21/18,9348
12/28/18,8623
1/4/19,8735
1/11/19,8565
1/18/19,8868
1/25/19,9564
2/1/19,9073
2/8/19,8648
2/15/19,8800
2/22/19,8981
3/1/19,9062
3/8/19,9140
3/15/19,9409
3/22/19,9124
3/29/19,9131
4/5/19,9806
4/12/19,9420
4/19/19,9409
4/26/19,9228
5/3/19,9871
5/10/19,9148
5/17/19,9429
5/24/19,9394
5/31/19,9441
6/7/19,9877
6/14/19,9928
6/21/19,9466
6/28/19,9492
7/5/19,9754
7/12/19,9214
7/19/19,9673
7/26/19,9559
8/2/19,9651
8/9/19,9932
8/16/19,9626
8/23/19,9900
8/30/19,9471
9/6/19,9807
9/13/19,8939
9/20/19,9346
9/27/19,9137
10/4/19,9460
10/11/19,9354
10/18/19,9590
10/25/19,9784
11/1/19,9145
11/8/19,9321
11/15/19,9192
11/22/19,9204
11/29/19,9032
12/6/19,8882
12/13/19,9411
12/20/19,9303
12/27/19,8961
1/3/20,8133
1/10/20,8558
1/17/20,8662
1/24/20,8793
1/31/20,8933
2/7/20,8722
2/14/20,8918
2/21/20,9035
2/28/20,9186
3/6/20,9449
3/13/20,9696
3/20/20,8837
3/27/20,6659
4/3/20,5065
4/10/20,5081
4/17/20,5311
4/24/20,5860
5/1/20,6664
5/8/20,7398
5/15/20,6790
5/22/20,7253
5/29/20,7549
6/5/20,7900
6/12/20,7870
6/19/20,8608
6/26/20,8561
7/3/20,8766
7/10/20,8648
7/17/20,8550
7/24/20,8809
7/31/20,8617
8/7/20,8883
8/14/20,8630
8/21/20,9161
8/28/20,8786
9/4/20,8390
9/11/20,8478
9/18/20,8515
9/25/20,8529
10/2/20,8896
10/9/20,8576
10/16/20,8289
10/23/20,8545
10/30/20,8336
11/6/20,8762
