DATE,% WEIGHTED ILI
8/15/10,0.847437
8/22/10,0.888273
8/29/10,0.765372
9/5/10,0.91858
9/12/10,1.01432
9/19/10,1.01233
9/26/10,1.11803
10/3/10,1.11806
10/10/10,1.10939
10/17/10,1.24341
10/24/10,1.25726
10/31/10,1.25734
11/7/10,1.43414
11/14/10,1.51838
11/21/10,1.61617
11/28/10,1.84378
12/5/10,1.72535
12/12/10,1.87923
12/19/10,2.3371
12/26/10,3.03533
1/2/11,3.136
1/9/11,2.53336
1/16/11,2.91288
1/23/11,3.44497
1/30/11,4.16185
2/6/11,4.55159
2/13/11,4.46504
2/20/11,4.55124
2/27/11,4.0822
3/6/11,3.38812
3/13/11,2.99142
3/20/11,2.61542
3/27/11,2.09065
4/3/11,1.86146
4/10/11,1.61377
4/17/11,1.42199
4/24/11,1.3382
5/1/11,1.19995
5/8/11,1.14889
5/15/11,1.12194
5/22/11,1.06712
5/29/11,1.05058
6/5/11,1.15203
6/12/11,0.970975
6/19/11,0.894683
6/26/11,0.843568
7/3/11,0.815409
7/10/11,0.823052
7/17/11,0.674635
7/24/11,0.631883
7/31/11,0.641513
8/7/11,0.529813
8/14/11,0.644089
8/21/11,0.667718
8/28/11,0.705668
9/4/11,0.804155
9/11/11,0.907804
9/18/11,1.00555
9/25/11,1.03601
10/2/11,1.07583
10/9/11,1.16092
10/16/11,1.19785
10/23/11,1.27926
10/30/11,1.29194
11/6/11,1.42824
11/13/11,1.39803
11/20/11,1.45831
11/27/11,1.56548
12/4/11,1.34313
12/11/11,1.48139
12/18/11,1.63398
12/25/11,1.83126
1/1/12,2.10451
1/8/12,1.73625
1/15/12,1.55066
1/22/12,1.62891
1/29/12,1.76038
2/5/12,1.92728
2/12/12,1.91994
2/19/12,2.09951
2/26/12,2.23973
3/4/12,2.21921
3/11/12,2.16693
3/18/12,2.38913
3/25/12,1.96466
4/1/12,1.84229
4/8/12,1.68674
4/15/12,1.53136
4/22/12,1.37912
4/29/12,1.29515
5/6/12,1.39521
5/13/12,1.32522
5/20/12,1.23059
5/27/12,1.23028
6/3/12,1.26877
6/10/12,1.10782
6/17/12,1.09559
6/24/12,1.11031
7/1/12,1.10616
7/8/12,1.10816
7/15/12,0.999444
7/22/12,0.924199
7/29/12,0.949257
8/5/12,0.978903
8/12/12,0.925024
8/19/12,0.848456
8/26/12,1.04451
9/2/12,1.0986
9/9/12,1.22071
9/16/12,1.24976
9/23/12,1.22892
9/30/12,1.29393
10/7/12,1.23034
10/14/12,1.3278
10/21/12,1.33995
10/28/12,1.37842
11/4/12,1.50085
11/11/12,1.65163
11/18/12,1.76746
11/25/12,2.30609
12/2/12,2.16324
12/9/12,2.83038
12/16/12,3.43761
12/23/12,4.30554
12/30/12,6.06082
1/13/13,4.64931
1/20/13,4.32584
1/27/13,4.51113
2/3/13,4.2171
2/10/13,3.78956
2/17/13,3.29206
2/24/13,3.0197
3/3/13,2.71499
3/10/13,2.4845
3/17/13,2.57808
3/24/13,2.39237
3/31/13,2.06778
4/7/13,1.90281
4/14/13,1.65902
4/21/13,1.43006
4/28/13,1.27757
5/5/13,1.19009
5/12/13,1.09556
5/19/13,1.08589
5/26/13,1.07343
6/2/13,1.01677
6/9/13,1.04847
6/16/13,0.920349
6/23/13,0.920779
6/30/13,0.904333
7/7/13,0.83057
7/14/13,0.862837
7/21/13,0.732182
7/28/13,0.724558
8/4/13,0.740848
8/11/13,0.726037
8/18/13,0.755639
8/25/13,0.761847
9/1/13,0.779896
9/8/13,0.899138
9/15/13,0.999524
9/22/13,1.0558
9/29/13,1.0967
10/6/13,1.24709
10/13/13,1.15746
10/20/13,1.27184
10/27/13,1.31623
11/3/13,1.37444
11/10/13,1.46781
11/17/13,1.5834
11/24/13,1.60253
12/1/13,1.72344
12/8/13,2.11076
12/15/13,2.1708
12/22/13,2.36971
12/29/13,3.15997
1/5/14,4.59053
1/12/14,4.28195
1/19/14,3.56288
1/26/14,3.36378
2/2/14,3.39659
2/9/14,3.11922
2/16/14,2.83572
2/23/14,2.48484
3/2/14,2.2741
3/9/14,2.07244
3/16/14,1.98207
3/23/14,1.82441
3/30/14,1.82036
4/6/14,1.75391
4/13/14,1.74542
4/20/14,1.67236
4/27/14,1.51659
5/4/14,1.44778
5/11/14,1.29028
5/18/14,1.37388
5/25/14,1.34208
6/1/14,1.34563
6/8/14,1.21291
6/15/14,1.19291
6/22/14,1.14146
6/29/14,1.06503
7/6/14,1.12669
7/13/14,0.947353
7/20/14,0.944187
7/27/14,0.934822
8/3/14,0.81736
8/10/14,0.852792
8/17/14,0.746994
8/24/14,0.761098
8/31/14,0.767627
9/7/14,0.862176
9/14/14,0.984907
9/21/14,1.16287
9/28/14,1.22731
10/5/14,1.2071
10/12/14,1.16191
10/19/14,1.30905
10/26/14,1.37072
11/2/14,1.43373
11/9/14,1.42791
11/16/14,1.61605
11/23/14,1.65976
11/30/14,2.05459
12/7/14,2.53541
12/14/14,2.54253
12/21/14,3.60563
12/28/14,4.90976
1/4/15,5.98221
1/11/15,5.47421
1/18/15,4.21022
1/25/15,4.25968
2/1/15,3.97761
2/8/15,3.63443
2/15/15,3.26527
2/22/15,2.93083
3/1/15,2.54474
3/8/15,2.47227
3/15/15,2.35665
3/22/15,2.17008
3/29/15,2.04297
4/5/15,1.954
4/12/15,1.72287
4/19/15,1.53694
4/26/15,1.38283
5/3/15,1.46265
5/10/15,1.38934
5/17/15,1.3468
5/24/15,1.25452
5/31/15,1.21636
6/7/15,1.16734
6/14/15,1.04654
6/21/15,0.943661
6/28/15,0.935046
7/5/15,0.934726
7/12/15,0.864118
7/19/15,0.806535
7/26/15,0.742747
8/2/15,0.737859
8/9/15,0.743224
8/16/15,0.805251
8/23/15,0.816943
8/30/15,0.814518
9/6/15,0.86067
9/13/15,0.886704
9/20/15,1.00845
9/27/15,1.06625
10/4/15,1.05995
10/11/15,1.22559
10/18/15,1.31066
10/25/15,1.3711
11/1/15,1.39171
11/8/15,1.43712
11/15/15,1.50165
11/22/15,1.59805
11/29/15,1.89668
12/6/15,1.67728
12/13/15,1.78296
12/20/15,1.87336
12/27/15,2.32148
1/3/16,2.40991
1/10/16,1.94328
1/17/16,1.99796
1/24/16,2.11829
1/31/16,2.25112
2/7/16,2.37116
2/14/16,2.80035
2/21/16,3.16475
2/28/16,3.15183
3/6/16,3.3321
3/13/16,3.56024
3/20/16,3.05479
3/27/16,2.76732
4/3/16,2.44161
4/10/16,2.03348
4/17/16,1.98593
4/24/16,1.91514
5/1/16,1.69968
5/8/16,1.57635
5/15/16,1.3935
5/22/16,1.29941
5/29/16,1.18379
6/5/16,1.13723
6/12/16,1.04118
6/19/16,0.971814
6/26/16,0.863306
7/3/16,0.833797
7/10/16,0.784516
7/17/16,0.734327
7/24/16,0.698845
7/31/16,0.723099
8/7/16,0.663501
8/14/16,0.69276
8/21/16,0.710029
8/28/16,0.834232
9/4/16,0.992621
9/11/16,1.01605
9/18/16,1.07169
9/25/16,1.10163
10/2/16,1.18841
10/9/16,1.2019
10/16/16,1.23108
10/23/16,1.26796
10/30/16,1.36298
11/6/16,1.48535
11/13/16,1.55954
11/20/16,1.64783
11/27/16,1.91275
12/4/16,1.81725
12/11/16,1.91433
12/18/16,2.21003
12/25/16,2.73568
1/1/17,3.36832
1/8/17,3.09689
1/15/17,3.07346
1/22/17,3.51643
1/29/17,3.8027
2/5/17,4.50313
2/12/17,5.06308
2/19/17,4.86009
2/26/17,4.57916
3/5/17,3.55674
3/12/17,3.50417
3/19/17,3.21511
3/26/17,3.10088
4/2/17,2.79056
4/9/17,2.38547
4/16/17,1.9703
4/23/17,1.73442
4/30/17,1.56303
5/7/17,1.4128
5/14/17,1.27492
5/21/17,1.2834
5/28/17,1.16663
6/4/17,1.10977
6/11/17,1.04333
6/18/17,0.905151
6/25/17,0.902718
7/2/17,0.859531
7/9/17,0.818998
7/16/17,0.752505
7/23/17,0.731146
7/30/17,0.733295
8/6/17,0.73102
8/13/17,0.68834
8/20/17,0.732049
8/27/17,0.911188
9/3/17,1.02105
9/10/17,1.09495
9/17/17,1.09475
9/24/17,1.09775
10/1/17,1.18882
10/8/17,1.26589
10/15/17,1.30479
10/22/17,1.34075
10/29/17,1.51674
11/5/17,1.74583
11/12/17,1.88708
11/19/17,2.05923
11/26/17,2.27971
12/3/17,2.28379
12/10/17,2.58278
12/17/17,3.36558
12/24/17,4.73117
12/31/17,5.70943
1/7/18,5.74658
1/14/18,5.89207
1/21/18,6.51759
1/28/18,7.16338
2/4/18,7.52133
2/11/18,7.38748
2/18/18,6.44688
2/25/18,4.95881
3/4/18,3.68612
3/11/18,3.18626
3/18/18,2.76894
3/25/18,2.48706
4/1/18,2.40802
4/8/18,2.07483
4/15/18,1.77898
4/22/18,1.61487
4/29/18,1.5385
5/6/18,1.52612
5/13/18,1.28847
5/20/18,1.18344
5/27/18,1.24919
6/3/18,1.14131
6/10/18,0.9878
6/17/18,0.895565
6/24/18,0.892204
7/1/18,0.877184
7/8/18,0.780203
7/15/18,0.725075
7/22/18,0.68247
7/29/18,0.640393
8/5/18,0.639127
8/12/18,0.705637
8/19/18,0.707801
8/26/18,0.822659
9/2/18,0.859864
9/9/18,1.10083
9/16/18,1.15323
9/23/18,1.20178
9/30/18,1.2498
10/7/18,1.41876
10/14/18,1.40077
10/21/18,1.47139
10/28/18,1.63634
11/4/18,1.79125
11/11/18,1.86871
11/18/18,1.98121
11/25/18,2.23487
12/2/18,2.14572
12/9/18,2.25134
12/16/18,2.6411
12/23/18,3.13478
12/30/18,3.96538
1/13/19,3.45972
1/20/19,3.07558
1/27/19,3.3258
2/3/19,3.79773
2/10/19,4.34227
2/17/19,4.86953
2/24/19,5.03689
3/3/19,4.8812
3/10/19,4.54791
3/17/19,4.3762
3/24/19,4.22692
3/31/19,3.68251
4/7/19,3.08559
4/14/19,2.69831
4/21/19,2.28676
4/28/19,2.01217
5/5/19,1.71323
5/12/19,1.56678
5/19/19,1.49827
5/26/19,1.49961
6/2/19,1.42123
6/9/19,1.39258
6/16/19,1.21697
6/23/19,1.11266
6/30/19,0.991888
7/7/19,0.946401
7/14/19,0.874695
7/21/19,0.809169
7/28/19,0.75452
8/4/19,0.732983
8/11/19,0.725811
8/18/19,0.754209
8/25/19,0.729672
9/1/19,0.839875
9/8/19,0.989358
9/15/19,1.1354
9/22/19,1.23124
9/29/19,1.24448
10/6/19,1.3379
10/13/19,1.49002
10/20/19,1.59192
10/27/19,1.72572
11/3/19,1.83419
11/10/19,2.04008
11/17/19,2.39351
11/24/19,2.63251
12/1/19,2.89941
12/8/19,3.41501
12/15/19,3.2579
12/22/19,3.94308
12/29/19,5.06435
1/5/20,7.06161
1/12/20,5.90066
1/19/20,4.9402
1/26/20,5.33135
2/2/20,6.07822
2/9/20,6.74724
2/16/20,6.80157
2/23/20,6.11292
3/1/20,5.52513
3/8/20,5.12333
3/15/20,5.26652
3/22/20,5.66932
3/29/20,6.38029
4/5/20,4.91692
4/12/20,3.78625
4/19/20,2.80122
4/26/20,2.12907
5/3/20,1.73315
5/10/20,1.40939
5/17/20,1.18297
5/24/20,1.11444
5/31/20,1.00534
6/7/20,0.88827
6/14/20,0.814062
6/21/20,0.836751
6/28/20,0.928418
7/5/20,1.14217
7/12/20,1.27401
7/19/20,1.34924
7/26/20,1.34434
8/2/20,1.22153
8/9/20,1.15258
8/16/20,1.0625
8/23/20,0.979884
8/30/20,0.968853
9/6/20,1.00014
9/13/20,0.921454
9/20/20,1.03555
9/27/20,0.974333
10/4/20,1.06408
10/11/20,1.0872
10/18/20,1.20898
10/25/20,1.10874
11/1/20,1.18588
11/8/20,1.25
11/15/20,1.43782
11/22/20,1.48426
11/29/20,1.54717
12/6/20,1.60668
12/13/20,1.56586
12/20/20,1.52073
12/27/20,1.50659
1/3/21,1.55413
1/10/21,1.5907
1/17/21,1.29196
1/24/21,1.25191
1/31/21,1.10337
2/7/21,1.16554
2/14/21,1.00745
2/21/21,0.986987
2/28/21,0.862967
3/7/21,0.82875
3/14/21,0.883305
3/21/21,0.90874
3/28/21,0.948022
4/4/21,0.974936
4/11/21,1.06411
4/18/21,1.08168
4/25/21,1.10339
5/2/21,1.13164
5/9/21,1.1483
5/16/21,1.19144
5/23/21,1.24686
5/30/21,1.14576
6/6/21,1.18405
6/13/21,1.12999
6/20/21,1.19103
6/27/21,1.21258
7/4/21,1.2132
7/11/21,1.26708
7/18/21,1.38688
7/25/21,1.64767
8/1/21,1.799
8/8/21,1.94947
8/15/21,2.03512
8/22/21,2.19023
8/29/21,2.23843
9/5/21,2.26655
9/12/21,2.21303
9/19/21,2.04664
9/26/21,1.9014
10/3/21,1.84504
10/10/21,2.03811
10/17/21,1.94464
10/24/21,1.92538
10/31/21,1.9789
11/7/21,2.1334
11/14/21,2.25788
11/21/21,2.41079
11/28/21,2.51762
12/5/21,2.55244
12/12/21,2.72476
12/19/21,3.14645
12/26/21,4.00686
1/2/22,4.90468
1/9/22,4.3291
1/16/22,3.5344
1/23/22,2.82024
1/30/22,2.06558
2/6/22,1.68092
2/13/22,1.44022
2/20/22,1.48974
2/27/22,1.46266
3/6/22,1.58728
3/13/22,1.70339
3/20/22,1.83335
3/27/22,1.87057
4/3/22,1.97612
4/10/22,2.07126
4/17/22,2.16302
4/24/22,2.20418
5/1/22,2.24681
5/8/22,2.3613
5/15/22,2.48314
5/22/22,2.45354
5/29/22,2.39624
6/5/22,2.4335
6/12/22,2.16334
6/19/22,1.98842
6/26/22,1.87678
7/3/22,1.80274
7/10/22,1.81978
7/17/22,1.67886
7/24/22,1.65939
7/31/22,1.67083
8/7/22,1.52259
8/14/22,1.50755
8/21/22,1.60507
8/28/22,1.83793
9/4/22,1.96433
9/11/22,2.02422
9/18/22,2.03228
9/25/22,2.28328
10/2/22,2.36912
10/9/22,2.56561
