DATE,ILITOTAL
8/13/17,4915
8/20/17,5230
8/27/17,6653
9/3/17,7133
9/10/17,7072
9/17/17,8304
9/24/17,8563
10/1/17,9079
10/8/17,25678
10/15/17,26534
10/22/17,28638
10/29/17,31664
11/5/17,34138
11/12/17,38114
11/19/17,43784
11/26/17,39632
12/3/17,47504
12/10/17,49910
12/17/17,63004
12/24/17,85564
12/31/17,90510
1/7/18,94538
1/14/18,113522
1/21/18,126072
1/28/18,154652
2/4/18,171970
2/11/18,175650
2/18/18,152420
2/25/18,106050
3/4/18,72128
3/11/18,58266
3/18/18,51876
3/25/18,47610
4/1/18,41386
4/8/18,38148
4/15/18,33328
4/22/18,29738
4/29/18,29104
5/6/18,26582
5/13/18,23238
5/20/18,22132
5/27/18,21292
6/3/18,19216
6/10/18,17386
6/17/18,15146
6/24/18,14746
7/1/18,13894
7/8/18,12516
7/15/18,13002
7/22/18,11572
7/29/18,10994
8/5/18,11224
8/12/18,11722
8/19/18,13074
8/26/18,14646
9/2/18,16222
9/9/18,19060
9/16/18,20130
9/23/18,22378
9/30/18,23534
10/7/18,17975
10/14/18,18652
10/21/18,19948
10/28/18,21634
11/4/18,23169
11/11/18,24085
11/18/18,24419
11/25/18,24635
12/2/18,29096
12/9/18,28377
12/16/18,33113
12/23/18,38260
12/30/18,44012
1/13/19,42135
1/20/19,38815
1/27/19,41199
2/3/19,46241
2/10/19,55264
2/17/19,69732
2/24/19,70056
3/3/19,66461
3/10/19,58802
3/17/19,55431
3/24/19,53177
3/31/19,45668
4/7/19,37948
4/14/19,32941
4/21/19,27854
4/28/19,23147
5/5/19,20610
5/12/19,18864
5/19/19,17107
5/26/19,16459
6/2/19,15763
6/9/19,14776
6/16/19,13451
6/23/19,12106
6/30/19,10695
7/7/19,10027
7/14/19,8722
7/21/19,8425
7/28/19,8116
8/4/19,7787
8/11/19,7884
8/18/19,8060
8/25/19,8994
9/1/19,10103
9/8/19,11904
9/15/19,13188
9/22/19,14843
9/29/19,16001
10/6/19,17453
10/13/19,21916
10/20/19,22954
10/27/19,24886
11/3/19,27419
11/10/19,28910
11/17/19,34586
11/24/19,37732
12/1/19,44161
12/8/19,44044
12/15/19,48904
12/22/19,56444
12/29/19,71594
1/5/20,95757
1/12/20,88731
1/19/20,75614
1/26/20,79783
2/2/20,90150
2/9/20,108307
2/16/20,111361
2/23/20,95418
3/1/20,80559
3/8/20,74823
3/15/20,78779
3/22/20,89607
3/29/20,78584
4/5/20,53142
4/12/20,36251
4/19/20,24974
4/26/20,18274
5/3/20,15164
5/10/20,12821
5/17/20,11068
5/24/20,10480
5/31/20,11735
6/7/20,9614
6/14/20,9325
6/21/20,9580
6/28/20,11868
7/5/20,15499
7/12/20,17843
7/19/20,20050
7/26/20,19261
8/2/20,16533
8/9/20,15524
8/16/20,14118
8/23/20,13193
8/30/20,12952
9/6/20,13159
9/13/20,12347
9/20/20,13036
9/27/20,13049
10/4/20,14589
10/11/20,16570
10/18/20,19194
10/25/20,17281
11/1/20,18187
11/8/20,18612
11/15/20,21410
11/22/20,22623
11/29/20,22722
12/6/20,21320
12/13/20,22305
12/20/20,22219
12/27/20,20886
1/3/21,19852
1/10/21,22436
1/17/21,19194
1/24/21,18353
1/31/21,16910
2/7/21,16101
2/14/21,14108
2/21/21,12602
2/28/21,13347
3/7/21,13017
3/14/21,14098
3/21/21,14580
3/28/21,15359
4/4/21,15994
4/11/21,18148
4/18/21,19177
4/25/21,19313
5/2/21,20134
5/9/21,19937
5/16/21,20373
5/23/21,21266
5/30/21,19685
6/6/21,20152
6/13/21,19188
6/20/21,19672
6/27/21,19896
7/4/21,20103
7/11/21,22376
7/18/21,25263
7/25/21,30554
8/1/21,35221
8/8/21,37762
8/15/21,40069
8/22/21,42753
8/29/21,43062
9/5/21,40878
9/12/21,39438
9/19/21,36222
9/26/21,34019
10/3/21,30002
10/10/21,39619
10/17/21,37489
10/24/21,35684
10/31/21,36616
11/7/21,39986
11/14/21,44242
11/21/21,47047
11/28/21,43297
12/5/21,52671
12/12/21,55027
12/19/21,62539
12/26/21,79184
1/2/22,113921
1/9/22,93323
1/16/22,69158
1/23/22,48685
1/30/22,34720
2/6/22,25809
2/13/22,23719
2/20/22,23930
2/27/22,23620
3/6/22,25789
3/13/22,28073
3/20/22,31342
3/27/22,32433
4/3/22,34811
4/10/22,38128
4/17/22,40953
4/24/22,42072
5/1/22,44980
5/8/22,47787
5/15/22,53380
5/22/22,54062
5/29/22,53992
6/5/22,51879
6/12/22,45240
6/19/22,40250
6/26/22,37830
7/3/22,34570
7/10/22,34995
7/17/22,33011
7/24/22,32613
7/31/22,32040
8/7/22,29647
8/14/22,28923
8/21/22,31572
8/28/22,35788
9/4/22,37529
9/11/22,38334
9/18/22,39596
9/25/22,44458
10/2/22,45865
10/9/22,52900
