DATE,NUM. OF PROVIDERS
4/29/18,4176
5/6/18,4036
5/13/18,3866
5/20/18,3954
5/27/18,3792
6/3/18,3604
6/10/18,3596
6/17/18,3506
6/24/18,3546
7/1/18,3472
7/8/18,3560
7/15/18,3570
7/22/18,3496
7/29/18,3482
8/5/18,3448
8/12/18,3380
8/19/18,3450
8/26/18,3220
9/2/18,3362
9/9/18,3420
9/16/18,3416
9/23/18,3368
9/30/18,3420
10/7/18,2611
10/14/18,2651
10/21/18,2623
10/28/18,2678
11/4/18,2666
11/11/18,2672
11/18/18,2665
11/25/18,2618
12/2/18,2666
12/9/18,2658
12/16/18,2650
12/23/18,2596
12/30/18,2581
1/13/19,2630
1/20/19,2656
1/27/19,2658
2/3/19,2677
2/10/19,2668
2/17/19,2673
2/24/19,2655
3/3/19,2655
3/10/19,2658
3/17/19,2637
3/24/19,2646
3/31/19,2653
4/7/19,2619
4/14/19,2620
4/21/19,2568
4/28/19,2542
5/5/19,2516
5/12/19,2485
5/19/19,2444
5/26/19,2336
6/2/19,2224
6/9/19,2196
6/16/19,2258
6/23/19,2206
6/30/19,2159
7/7/19,2084
7/14/19,2154
7/21/19,2111
7/28/19,2154
8/4/19,2140
8/11/19,2151
8/18/19,2167
8/25/19,2200
9/1/19,2170
9/8/19,2193
9/15/19,2217
9/22/19,2247
9/29/19,2224
10/6/19,2211
10/13/19,2912
10/20/19,2942
10/27/19,2966
11/3/19,2997
11/10/19,3005
11/17/19,3022
11/24/19,2991
12/1/19,2987
12/8/19,2993
12/15/19,2995
12/22/19,2958
12/29/19,2926
1/5/20,2917
1/12/20,2970
1/19/20,3002
1/26/20,2995
2/2/20,2997
2/9/20,2995
2/16/20,3005
2/23/20,2969
3/1/20,2984
3/8/20,2947
3/15/20,2913
3/22/20,2847
3/29/20,2810
4/5/20,2738
4/12/20,2696
4/19/20,2698
4/26/20,2679
5/3/20,2663
5/10/20,2635
5/17/20,2625
5/24/20,2613
5/31/20,2982
6/7/20,2961
6/14/20,2943
6/21/20,2915
6/28/20,2949
7/5/20,2907
7/12/20,2908
7/19/20,2931
7/26/20,2905
8/2/20,2964
8/9/20,3005
8/16/20,2967
8/23/20,2989
8/30/20,2942
9/6/20,2979
9/13/20,2935
9/20/20,2928
9/27/20,2954
10/4/20,2954
10/11/20,3332
10/18/20,3373
10/25/20,3351
11/1/20,3377
11/8/20,3471
11/15/20,3470
11/22/20,3436
11/29/20,3376
12/6/20,3378
12/13/20,3382
12/20/20,3400
12/27/20,3340
1/3/21,3343
1/10/21,3322
1/17/21,3332
1/24/21,3356
1/31/21,3367
2/7/21,3337
2/14/21,3288
2/21/21,3297
2/28/21,3318
3/7/21,3319
3/14/21,3325
3/21/21,3268
3/28/21,3242
4/4/21,3301
4/11/21,3323
4/18/21,3324
4/25/21,3290
5/2/21,3303
5/9/21,3272
5/16/21,3255
5/23/21,3233
5/30/21,3184
6/6/21,3182
6/13/21,3148
6/20/21,3107
6/27/21,3093
7/4/21,3092
7/11/21,3094
7/18/21,3103
7/25/21,3102
8/1/21,3088
8/8/21,3085
8/15/21,3079
8/22/21,3071
8/29/21,3066
9/5/21,3067
9/12/21,3057
9/19/21,3095
9/26/21,3076
10/3/21,2919
10/10/21,3587
10/17/21,3580
10/24/21,3538
10/31/21,3572
11/7/21,3578
11/14/21,3601
11/21/21,3591
11/28/21,3584
12/5/21,3608
12/12/21,3613
12/19/21,3584
12/26/21,3564
1/2/22,3532
1/9/22,3561
1/16/22,3568
1/23/22,3573
1/30/22,3554
2/6/22,3488
2/13/22,3548
2/20/22,3545
2/27/22,3546
3/6/22,3541
3/13/22,3563
3/20/22,3535
3/27/22,3531
4/3/22,3518
4/10/22,3526
4/17/22,3518
4/24/22,3530
5/1/22,3520
5/8/22,3442
5/15/22,3465
5/22/22,3449
5/29/22,3409
6/5/22,3381
6/12/22,3373
6/19/22,3335
6/26/22,3387
7/3/22,3267
7/10/22,3379
7/17/22,3346
7/24/22,3348
7/31/22,3323
8/7/22,3346
8/14/22,3285
8/21/22,3329
8/28/22,3318
9/4/22,3299
9/11/22,3324
9/18/22,3316
9/25/22,3329
10/2/22,3335
10/9/22,3356
