DATE,AGE 25-49
11/2/14,2459
11/9/14,2242
11/16/14,2349
11/23/14,2323
11/30/14,2921
12/7/14,3277
12/14/14,4623
12/21/14,5287
12/28/14,6920
1/4/15,8982
1/11/15,9348
1/18/15,6946
1/25/15,6451
2/1/15,5844
2/8/15,5380
2/15/15,4884
2/22/15,4295
3/1/15,4061
3/8/15,3914
3/15/15,3654
3/22/15,3482
3/29/15,3284
4/5/15,2968
4/12/15,2931
4/19/15,2448
4/26/15,2052
5/3/15,2122
5/10/15,2074
5/17/15,1810
5/24/15,1768
5/31/15,1461
6/7/15,1334
6/14/15,1320
6/21/15,1167
6/28/15,1170
7/5/15,1043
7/12/15,1081
7/19/15,1028
7/26/15,1011
8/2/15,999
8/9/15,1026
8/16/15,1062
8/23/15,1134
8/30/15,1151
9/6/15,1230
9/13/15,1297
9/20/15,1392
9/27/15,1520
10/4/15,1654
10/11/15,2015
10/18/15,2102
10/25/15,2357
11/1/15,2254
11/8/15,2450
11/15/15,2517
11/22/15,2656
11/29/15,2427
12/6/15,3011
12/13/15,2902
12/20/15,2963
12/27/15,2876
1/3/16,3264
1/10/16,3597
1/17/16,3180
1/24/16,3226
1/31/16,3615
2/7/16,3759
2/14/16,4600
2/21/16,5642
2/28/16,6001
3/6/16,6395
3/13/16,7358
3/20/16,6026
3/27/16,4982
4/3/16,4476
4/10/16,3869
4/17/16,3530
4/24/16,3247
5/1/16,2986
5/8/16,2586
5/15/16,2276
5/22/16,1998
5/29/16,1714
6/5/16,1637
6/12/16,1460
6/19/16,1354
6/26/16,1178
7/3/16,1146
7/10/16,985
7/17/16,1064
7/24/16,994
7/31/16,1036
8/7/16,971
8/14/16,1016
8/21/16,1028
8/28/16,1234
9/4/16,1242
9/11/16,1284
9/18/16,1509
9/25/16,1539
10/2/16,1645
10/9/16,2114
10/16/16,2155
10/23/16,2234
10/30/16,2406
11/6/16,2444
11/13/16,2549
11/20/16,2659
11/27/16,2634
12/4/16,3326
12/11/16,3188
12/18/16,3491
12/25/16,4099
1/1/17,5247
1/8/17,5673
1/15/17,5313
1/22/17,5588
1/29/17,5788
2/5/17,6522
2/12/17,8235
2/19/17,8328
2/26/17,8560
3/5/17,6496
3/12/17,5970
3/19/17,5535
3/26/17,5858
4/2/17,5070
4/9/17,3918
4/16/17,3151
4/23/17,2766
4/30/17,2391
5/7/17,2039
5/14/17,2037
5/21/17,2011
5/28/17,1745
6/4/17,1577
6/11/17,1459
6/18/17,1346
6/25/17,1282
7/2/17,1121
7/9/17,1111
7/16/17,1004
7/23/17,908
7/30/17,953
8/6/17,1037
8/13/17,1044
8/20/17,1097
8/27/17,1256
9/3/17,1302
9/10/17,1369
9/17/17,1656
9/24/17,1625
10/1/17,1652
10/8/17,4976
10/15/17,5352
10/22/17,5610
10/29/17,5844
11/5/17,6578
11/12/17,7218
11/19/17,8486
11/26/17,7688
12/3/17,10470
12/10/17,10092
12/17/17,13342
12/24/17,19712
12/31/17,23014
1/7/18,26766
1/14/18,30760
1/21/18,32024
1/28/18,36634
2/4/18,38172
2/11/18,39054
2/18/18,34406
2/25/18,24874
3/4/18,16970
3/11/18,12970
3/18/18,11856
3/25/18,10816
4/1/18,9440
4/8/18,8918
4/15/18,7498
4/22/18,6428
4/29/18,6052
5/6/18,5208
5/13/18,4410
5/20/18,4478
5/27/18,4164
6/3/18,3644
6/10/18,3676
6/17/18,3192
6/24/18,3108
7/1/18,3060
7/8/18,2598
7/15/18,2886
7/22/18,2580
7/29/18,2404
8/5/18,2492
8/12/18,2668
8/19/18,2774
8/26/18,2984
9/2/18,3276
9/9/18,3970
9/16/18,4224
9/23/18,4694
9/30/18,4976
10/7/18,3886
10/14/18,4048
10/21/18,4405
10/28/18,4619
11/4/18,4733
11/11/18,4834
11/18/18,5037
11/25/18,5017
12/2/18,6582
12/9/18,5974
12/16/18,6821
12/23/18,8127
12/30/18,10348
1/13/19,11413
1/20/19,10416
1/27/19,10045
2/3/19,11194
2/10/19,13048
2/17/19,15785
2/24/19,15945
3/3/19,15716
3/10/19,13847
3/17/19,13079
3/24/19,12580
3/31/19,10717
4/7/19,8656
4/14/19,7491
4/21/19,6208
4/28/19,4934
5/5/19,4553
5/12/19,4084
5/19/19,3574
5/26/19,3482
6/2/19,3214
6/9/19,3094
6/16/19,2952
6/23/19,2729
6/30/19,2425
7/7/19,2183
7/14/19,1911
7/21/19,1882
7/28/19,1862
8/4/19,1805
8/11/19,1830
8/18/19,2042
8/25/19,2047
9/1/19,2211
9/8/19,2559
9/15/19,2927
9/22/19,3297
9/29/19,3577
10/6/19,3882
10/13/19,4827
10/20/19,5148
10/27/19,5548
11/3/19,6080
11/10/19,6143
11/17/19,7182
11/24/19,7905
12/1/19,9138
12/8/19,9209
12/15/19,11947
12/22/19,12822
12/29/19,16227
1/5/20,24617
1/12/20,27655
1/19/20,23634
1/26/20,21413
2/2/20,23658
2/9/20,28889
2/16/20,29823
2/23/20,26428
3/1/20,23189
3/8/20,22127
3/15/20,23906
3/22/20,29667
3/29/20,30818
4/5/20,22408
4/12/20,14964
4/19/20,9995
4/26/20,7427
5/3/20,6339
5/10/20,5292
5/17/20,4585
5/24/20,4112
5/31/20,4375
6/7/20,3572
6/14/20,3440
6/21/20,3454
6/28/20,4710
7/5/20,6241
7/12/20,7032
7/19/20,8013
7/26/20,7526
8/2/20,6105
8/9/20,5709
8/16/20,4977
8/23/20,4502
8/30/20,4305
9/6/20,4032
9/13/20,3776
9/20/20,3975
9/27/20,4070
10/4/20,4413
10/11/20,5122
10/18/20,6035
10/25/20,5674
11/1/20,5864
11/8/20,6101
11/15/20,7094
11/22/20,7686
11/29/20,7829
12/6/20,7094
12/13/20,7698
12/20/20,7530
12/27/20,7131
1/3/21,6632
1/10/21,7729
1/17/21,6402
1/24/21,5878
1/31/21,5345
2/7/21,4996
2/14/21,4103
2/21/21,3710
2/28/21,3841
3/7/21,3536
3/14/21,3785
3/21/21,3940
3/28/21,4216
4/4/21,4395
4/11/21,5062
4/18/21,5292
4/25/21,4859
5/2/21,4818
5/9/21,4620
5/16/21,4364
5/23/21,4421
5/30/21,3990
6/6/21,3978
6/13/21,3692
6/20/21,3805
6/27/21,3815
7/4/21,4006
7/11/21,4860
7/18/21,6030
7/25/21,7962
8/1/21,9254
8/8/21,10547
8/15/21,11227
8/22/21,11022
8/29/21,10384
9/5/21,9562
9/12/21,9090
9/19/21,7783
9/26/21,6861
10/3/21,5638
10/10/21,7486
10/17/21,7083
10/24/21,6452
10/31/21,6669
11/7/21,6961
11/14/21,7836
11/21/21,8519
11/28/21,8173
12/5/21,11287
12/12/21,11367
12/19/21,13614
12/26/21,22550
1/2/22,38319
1/9/22,31466
1/16/22,21822
1/23/22,15080
1/30/22,9847
2/6/22,6418
2/13/22,5166
2/20/22,4640
2/27/22,4638
3/6/22,5004
3/13/22,5054
3/20/22,5909
3/27/22,5974
4/3/22,6754
4/10/22,7268
4/17/22,7834
4/24/22,8310
5/1/22,8682
5/8/22,9398
5/15/22,10334
5/22/22,10453
5/29/22,10405
6/5/22,10585
6/12/22,9654
6/19/22,8941
6/26/22,8676
7/3/22,8006
7/10/22,8382
7/17/22,8324
7/24/22,8219
7/31/22,8056
8/7/22,7297
8/14/22,6892
8/21/22,6659
8/28/22,7079
9/4/22,6987
9/11/22,6978
9/18/22,6709
9/25/22,6877
10/2/22,6869
10/9/22,10009
