DATE,TOTAL PATIENTS
11/19/06,453945
11/26/06,336822
12/3/06,452089
12/10/06,436741
12/17/06,435177
12/24/06,365334
12/31/06,286087
1/7/07,369521
1/14/07,416464
1/21/07,395477
1/28/07,446119
2/4/07,428241
2/11/07,454533
2/18/07,429057
2/25/07,442099
3/4/07,433281
3/11/07,428255
3/18/07,395394
3/25/07,385735
4/1/07,386327
4/8/07,361955
4/15/07,357183
4/22/07,356055
4/29/07,347413
5/6/07,317311
5/13/07,296262
5/20/07,285031
5/27/07,259803
6/3/07,220020
6/10/07,225197
6/17/07,217982
6/24/07,216378
7/1/07,218376
7/8/07,176387
7/15/07,199040
7/22/07,206574
7/29/07,205241
8/5/07,194161
8/12/07,200154
8/19/07,207580
8/26/07,210629
9/2/07,213219
9/9/07,187384
9/16/07,211509
9/23/07,208278
9/30/07,273623
10/7/07,526227
10/14/07,529126
10/21/07,557172
10/28/07,546680
11/4/07,547104
11/11/07,566717
11/18/07,546284
11/25/07,433951
12/2/07,548159
12/9/07,516263
12/16/07,463416
12/23/07,451862
12/30/07,357646
1/13/08,430603
1/20/08,531444
1/27/08,516966
2/3/08,516683
2/10/08,559609
2/17/08,596692
2/24/08,583210
3/2/08,570334
3/9/08,589626
3/16/08,558269
3/23/08,550776
3/30/08,514205
4/6/08,504350
4/13/08,492850
4/20/08,500881
4/27/08,479187
5/4/08,459808
5/11/08,425187
5/18/08,440183
5/25/08,401601
6/1/08,367075
6/8/08,348477
6/15/08,330127
6/22/08,327366
6/29/08,321789
7/6/08,306499
7/13/08,307073
7/20/08,311423
7/27/08,301532
8/3/08,300292
8/10/08,304175
8/17/08,294930
8/24/08,298701
8/31/08,300714
9/7/08,298342
9/14/08,293535
9/21/08,327567
9/28/08,336560
10/5/08,329731
10/12/08,555999
10/19/08,578446
10/26/08,582351
11/2/08,598473
11/9/08,599343
11/16/08,612526
11/23/08,598635
11/30/08,608646
12/7/08,478386
12/14/08,597052
12/21/08,579573
12/28/08,479318
1/4/09,403876
1/11/09,425780
1/18/09,565631
1/25/09,582932
2/1/09,611176
2/8/09,638613
2/15/09,648304
2/22/09,624583
3/1/09,659573
3/8/09,623389
3/15/09,637672
3/22/09,605503
3/29/09,608342
4/5/09,586651
4/12/09,564460
4/19/09,558837
4/26/09,577836
5/3/09,624734
5/10/09,598189
5/17/09,550300
5/24/09,544432
5/31/09,531526
6/7/09,538177
6/14/09,493761
6/21/09,521701
6/28/09,512268
7/5/09,475877
7/12/09,480680
7/19/09,502466
7/26/09,503971
8/2/09,485804
8/9/09,496666
8/16/09,506019
8/23/09,544827
8/30/09,588916
9/6/09,573972
9/13/09,571201
9/20/09,638302
9/27/09,608464
10/4/09,606458
10/11/09,855346
10/18/09,853912
10/25/09,906536
11/1/09,898860
11/8/09,899425
11/15/09,864348
11/22/09,853552
11/29/09,654101
12/6/09,814550
12/13/09,781811
12/20/09,728401
12/27/09,536961
1/3/10,583299
1/10/10,721138
1/17/10,770895
1/24/10,766177
1/31/10,785580
2/7/10,767773
2/14/10,756068
2/21/10,762208
2/28/10,806925
3/7/10,781411
3/14/10,768702
3/21/10,741293
3/28/10,747358
4/4/10,713863
4/11/10,730068
4/18/10,749563
4/25/10,719580
5/2/10,720054
5/9/10,705551
5/16/10,669414
5/23/10,670887
5/30/10,633532
6/6/10,549773
6/13/10,604004
6/20/10,580329
6/27/10,575664
7/4/10,542536
7/11/10,519414
7/18/10,547187
7/25/10,531790
8/1/10,526723
8/8/10,518121
8/15/10,525260
8/22/10,537190
8/29/10,558382
9/5/10,548573
9/12/10,531250
9/19/10,589930
9/26/10,623077
10/3/10,599366
10/10/10,746485
10/17/10,746230
10/24/10,777397
10/31/10,781234
11/7/10,766753
11/14/10,769982
11/21/10,787038
11/28/10,606527
12/5/10,772016
12/12/10,742606
12/19/10,704923
12/26/10,588406
1/2/11,592880
1/9/11,744043
1/16/11,711908
1/23/11,751850
1/30/11,798637
2/6/11,772974
2/13/11,812230
2/20/11,831600
2/27/11,801449
3/6/11,781629
3/13/11,747993
3/20/11,741807
3/27/11,728883
4/3/11,739375
4/10/11,729089
4/17/11,691707
4/24/11,662612
5/1/11,681240
5/8/11,655627
5/15/11,651983
5/22/11,620485
5/29/11,586460
6/5/11,531954
6/12/11,564322
6/19/11,539238
6/26/11,532356
7/3/11,506732
7/10/11,468565
7/17/11,526346
7/24/11,518011
7/31/11,514262
8/7/11,496632
8/14/11,521671
8/21/11,531975
8/28/11,551005
9/4/11,548228
9/11/11,514168
9/18/11,575887
9/25/11,584534
10/2/11,605162
10/9/11,778182
10/16/11,791987
10/23/11,794995
10/30/11,788840
11/6/11,784334
11/13/11,797839
11/20/11,801594
11/27/11,626731
12/4/11,782984
12/11/11,736905
12/18/11,729258
12/25/11,645424
1/1/12,581697
1/8/12,678631
1/15/12,747894
1/22/12,724623
1/29/12,784244
2/5/12,775298
2/12/12,784516
2/19/12,789193
2/26/12,767022
3/4/12,788242
3/11/12,749198
3/18/12,747570
3/25/12,755579
4/1/12,747079
4/8/12,711808
4/15/12,717202
4/22/12,732480
4/29/12,726772
5/6/12,662649
5/13/12,655492
5/20/12,636347
5/27/12,616765
6/3/12,550614
6/10/12,581700
6/17/12,564670
6/24/12,572296
7/1/12,536380
7/8/12,505533
7/15/12,558637
7/22/12,546713
7/29/12,557488
8/5/12,541600
8/12/12,548294
8/19/12,560110
8/26/12,594395
9/2/12,600354
9/9/12,558585
9/16/12,622114
9/23/12,630563
9/30/12,623572
10/7/12,779285
10/14/12,769959
10/21/12,797444
10/28/12,798388
11/4/12,734781
11/11/12,785871
11/18/12,777534
11/25/12,627772
12/2/12,831730
12/9/12,835762
12/16/12,811800
12/23/12,754019
12/30/12,607171
1/13/13,687051
1/20/13,850531
1/27/13,838326
2/3/13,778610
2/10/13,806640
2/17/13,772086
2/24/13,771229
3/3/13,755092
3/10/13,762238
3/17/13,737736
3/24/13,715059
3/31/13,723449
4/7/13,704276
4/14/13,701881
4/21/13,722583
4/28/13,694415
5/5/13,700300
5/12/13,667648
5/19/13,647130
5/26/13,623114
6/2/13,581338
6/9/13,541528
6/16/13,558875
6/23/13,541138
6/30/13,546643
7/7/13,540408
7/14/13,474295
7/21/13,543833
7/28/13,521874
8/4/13,524969
8/11/13,487617
8/18/13,523015
8/25/13,522533
9/1/13,522965
9/8/13,540157
9/15/13,539175
9/22/13,584196
9/29/13,591969
10/6/13,631088
10/13/13,854487
10/20/13,860298
10/27/13,848016
11/3/13,877917
11/10/13,874537
11/17/13,878845
11/24/13,868987
12/1/13,875411
12/8/13,665926
12/15/13,854664
12/22/13,802651
12/29/13,814891
1/5/14,615148
1/12/14,680424
1/19/14,812343
1/26/14,855297
2/2/14,786928
2/9/14,813726
2/16/14,804244
2/23/14,777340
3/2/14,812700
3/9/14,832786
3/16/14,790831
3/23/14,794024
3/30/14,803374
4/6/14,805133
4/13/14,797863
4/20/14,809707
4/27/14,773101
5/4/14,770592
5/11/14,766139
5/18/14,737834
5/25/14,708049
6/1/14,679395
6/8/14,624582
6/15/14,631143
6/22/14,635233
6/29/14,593740
7/6/14,596063
7/13/14,538049
7/20/14,601116
7/27/14,592305
8/3/14,591814
8/10/14,603580
8/17/14,605307
8/24/14,586778
8/31/14,635980
9/7/14,640080
9/14/14,578913
9/21/14,695966
9/28/14,696282
10/5/14,683887
10/12/14,841540
10/19/14,828544
10/26/14,845727
11/2/14,862314
11/9/14,855608
11/16/14,857601
11/23/14,844700
11/30/14,831289
12/7/14,671251
12/14/14,878430
12/21/14,853532
12/28/14,837119
1/4/15,662849
1/11/15,694773
1/18/15,792459
1/25/15,800359
2/1/15,789407
2/8/15,814097
2/15/15,823153
2/22/15,746836
3/1/15,812660
3/8/15,789858
3/15/15,805881
3/22/15,804117
3/29/15,801027
4/5/15,771143
4/12/15,785602
4/19/15,800974
4/26/15,756827
5/3/15,761638
5/10/15,748690
5/17/15,714799
5/24/15,678023
5/31/15,616171
6/7/15,609891
6/14/15,611184
6/21/15,602628
6/28/15,592081
7/5/15,534938
7/12/15,590468
7/19/15,588337
7/26/15,580010
8/2/15,567663
8/9/15,578812
8/16/15,579668
8/23/15,609994
8/30/15,635661
9/6/15,619323
9/13/15,583853
9/20/15,651524
9/27/15,654414
10/4/15,650904
10/11/15,808287
10/18/15,809660
10/25/15,825079
11/1/15,811165
11/8/15,845875
11/15/15,826877
11/22/15,838344
11/29/15,639738
12/6/15,841777
12/13/15,823657
12/20/15,783227
12/27/15,613128
1/3/16,650356
1/10/16,787192
1/17/16,779809
1/24/16,743249
1/31/16,827482
2/7/16,823602
2/14/16,813755
2/21/16,816098
2/28/16,848718
3/6/16,855439
3/13/16,848628
3/20/16,804948
3/27/16,786936
4/3/16,776752
4/10/16,787543
4/17/16,792672
4/24/16,775895
5/1/16,774777
5/8/16,741210
5/15/16,726244
5/22/16,688612
5/29/16,635835
6/5/16,598077
6/12/16,632252
6/19/16,617287
6/26/16,602666
7/3/16,573793
7/10/16,549582
7/17/16,602288
7/24/16,600272
7/31/16,593327
8/7/16,581457
8/14/16,585923
8/21/16,614499
8/28/16,621362
9/4/16,614349
9/11/16,601938
9/18/16,666755
9/25/16,675119
10/2/16,648678
10/9/16,852842
10/16/16,850228
10/23/16,896035
10/30/16,886570
11/6/16,877947
11/13/16,863356
11/20/16,874739
11/27/16,698566
12/4/16,881694
12/11/16,846813
12/18/16,810736
12/25/16,739882
1/1/17,701569
1/8/17,784740
1/15/17,824746
1/22/17,845391
1/29/17,886023
2/5/17,889216
2/12/17,901978
2/19/17,882163
2/26/17,877892
3/5/17,873547
3/12/17,851580
3/19/17,805370
3/26/17,869946
4/2/17,845397
4/9/17,830332
4/16/17,802052
4/23/17,792740
4/30/17,808298
5/7/17,781240
5/14/17,762648
5/21/17,728288
5/28/17,676574
6/4/17,617021
6/11/17,647145
6/18/17,633003
6/25/17,628582
7/2/17,581945
7/9/17,557219
7/16/17,599446
7/23/17,584688
7/30/17,596071
8/6/17,590413
8/13/17,593239
8/20/17,590363
8/27/17,631507
9/3/17,638196
9/10/17,620201
9/17/17,732755
9/24/17,728214
10/1/17,733077
10/8/17,2005784
10/15/17,1993190
10/22/17,2034152
10/29/17,2013996
11/5/17,2004280
11/12/17,2042158
11/19/17,2108580
11/26/17,1696628
12/3/17,2114700
12/10/17,2000366
12/17/17,1968566
12/24/17,1927956
12/31/17,1656598
1/7/18,1764542
1/14/18,2054932
1/21/18,1986862
1/28/18,2203614
2/4/18,2210156
2/11/18,2260794
2/18/18,2237600
2/25/18,2056232
3/4/18,2026382
3/11/18,1938854
3/18/18,1899956
3/25/18,1921558
4/1/18,1751316
4/8/18,1877926
4/15/18,1847696
4/22/18,1873900
4/29/18,1892320
5/6/18,1833566
5/13/18,1819322
5/20/18,1813336
5/27/18,1727758
6/3/18,1571212
6/10/18,1660080
6/17/18,1548492
6/24/18,1556228
7/1/18,1601514
7/8/18,1520260
7/15/18,1685294
7/22/18,1637194
7/29/18,1604600
8/5/18,1632936
8/12/18,1593242
8/19/18,1621988
8/26/18,1551462
9/2/18,1689614
9/9/18,1670054
9/16/18,1753724
9/23/18,1706218
9/30/18,1866260
10/7/18,1266076
10/14/18,1266257
10/21/18,1254844
10/28/18,1256271
11/4/18,1258405
11/11/18,1249921
11/18/18,1171062
11/25/18,1026187
12/2/18,1296156
12/9/18,1233986
12/16/18,1212127
12/23/18,1180820
12/30/18,1052725
1/13/19,1160440
1/20/19,1237552
1/27/19,1225384
2/3/19,1191426
2/10/19,1222020
2/17/19,1340765
2/24/19,1292464
3/3/19,1260932
3/10/19,1281115
3/17/19,1260615
3/24/19,1288273
3/31/19,1303765
4/7/19,1244935
4/14/19,1229217
4/21/19,1229148
4/28/19,1178058
5/5/19,1196855
5/12/19,1199386
5/19/19,1173980
5/26/19,1094840
6/2/19,1123869
6/9/19,1052737
6/16/19,1086961
6/23/19,1079343
6/30/19,1056024
7/7/19,1044732
7/14/19,992358
7/21/19,1060841
7/28/19,1058986
8/4/19,1040191
8/11/19,1041320
8/18/19,1046625
8/25/19,1079056
9/1/19,1074399
9/8/19,1100212
9/15/19,1097022
9/22/19,1166071
9/29/19,1152730
10/6/19,1167311
10/13/19,1458307
10/20/19,1436748
10/27/19,1430800
11/3/19,1473831
11/10/19,1435369
11/17/19,1463253
11/24/19,1426928
12/1/19,1484969
12/8/19,1275199
12/15/19,1476208
12/22/19,1458774
12/29/19,1424436
1/5/20,1338669
1/12/20,1426691
1/19/20,1492251
1/26/20,1489132
2/2/20,1496826
2/9/20,1575900
2/16/20,1571657
2/23/20,1533883
3/1/20,1433517
3/8/20,1466346
3/15/20,1489410
3/22/20,1425172
3/29/20,1068755
4/5/20,853431
4/12/20,750546
4/19/20,718953
4/26/20,709970
5/3/20,750576
5/10/20,790883
5/17/20,818998
5/24/20,846493
5/31/20,1090638
6/7/20,1085294
6/14/20,1137295
6/21/20,1176074
6/28/20,1248267
7/5/20,1288294
7/12/20,1289006
7/19/20,1361462
7/26/20,1340226
8/2/20,1356301
8/9/20,1349125
8/16/20,1336334
8/23/20,1343895
8/30/20,1347080
9/6/20,1355922
9/13/20,1341752
9/20/20,1332841
9/27/20,1365420
10/4/20,1405243
10/11/20,1542071
10/18/20,1619788
10/25/20,1584807
11/1/20,1582393
11/8/20,1566538
11/15/20,1603163
11/22/20,1641763
11/29/20,1592518
12/6/20,1425127
12/13/20,1539568
12/20/20,1554103
12/27/20,1493692
1/3/21,1362314
1/10/21,1458493
1/17/21,1518947
1/24/21,1515597
1/31/21,1506379
2/7/21,1488119
2/14/21,1447245
2/21/21,1388655
2/28/21,1551120
3/7/21,1544694
3/14/21,1560517
3/21/21,1551754
3/28/21,1599523
4/4/21,1602603
4/11/21,1683278
4/18/21,1729037
4/25/21,1679142
5/2/21,1702520
5/9/21,1649771
5/16/21,1623653
5/23/21,1683332
5/30/21,1652632
6/6/21,1610198
6/13/21,1675241
6/20/21,1659980
6/27/21,1644041
7/4/21,1657572
7/11/21,1683488
7/18/21,1751226
7/25/21,1787598
8/1/21,1844702
8/8/21,1840212
8/15/21,1859035
8/22/21,1856032
8/29/21,1866295
9/5/21,1814941
9/12/21,1782067
9/19/21,1806283
9/26/21,1756033
10/3/21,1628298
10/10/21,2016630
10/17/21,1972863
10/24/21,1918446
10/31/21,1934216
11/7/21,1917029
11/14/21,1989010
11/21/21,1996913
11/28/21,1762035
12/5/21,2056405
12/12/21,2026604
12/19/21,2018579
12/26/21,1941911
1/2/22,2246767
1/9/22,2179129
1/16/22,2025052
1/23/22,1811493
1/30/22,1763472
2/6/22,1655407
2/13/22,1771418
2/20/22,1746548
2/27/22,1725348
3/6/22,1812738
3/13/22,1815454
3/20/22,1867703
3/27/22,1873589
4/3/22,1877763
4/10/22,1912563
4/17/22,1923288
4/24/22,1927606
5/1/22,2033467
5/8/22,1979594
5/15/22,2061117
5/22/22,2076213
5/29/22,2038685
6/5/22,1961919
6/12/22,1972798
6/19/22,1940774
6/26/22,1972377
7/3/22,1918841
7/10/22,1951308
7/17/22,1978336
7/24/22,1980449
7/31/22,1944269
8/7/22,1958644
8/14/22,1910699
8/21/22,1949974
8/28/22,1977251
9/4/22,1980457
9/11/22,1967653
9/18/22,2006289
9/25/22,2020531
10/2/22,1992031
10/9/22,2065759
